venue_id,canonical_venue_name,aliases
1,Arun Jaitley Stadium,"Arun Jaitley Stadium|Arun Jaitley Stadium, Delhi|Feroz Shah Kotla"
2,Barabati Stadium,Barabati Stadium
3,Barsapara Cricket Stadium,"Barsapara Cricket Stadium, Guwahati"
4,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
5,Brabourne Stadium,"Brabourne Stadium|Brabourne Stadium, Mumbai"
6,Buffalo Park,Buffalo Park
7,De Beers Diamond Oval,De Beers Diamond Oval
8,Dr DY Patil Sports Academy,"Dr DY Patil Sports Academy|Dr DY Patil Sports Academy, Mumbai"
9,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
10,Dubai International Cricket Stadium,Dubai International Cricket Stadium
11,Eden Gardens,"Eden Gardens|Eden Gardens, Kolkata"
12,Green Park,Green Park
13,Himachal Pradesh Cricket Association Stadium,"Himachal Pradesh Cricket Association Stadium|Himachal Pradesh Cricket Association Stadium, Dharamsala"
14,Holkar Cricket Stadium,Holkar Cricket Stadium
15,JSCA International Stadium Complex,JSCA International Stadium Complex
16,Kingsmead,Kingsmead
17,M Chinnaswamy Stadium,"M Chinnaswamy Stadium|M Chinnaswamy Stadium, Bengaluru|M.Chinnaswamy Stadium"
18,MA Chidambaram Stadium,"MA Chidambaram Stadium|MA Chidambaram Stadium, Chepauk|MA Chidambaram Stadium, Chepauk, Chennai"
19,Maharaja Yadavindra Singh International Cricket Stadium,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur|Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh"
20,Maharashtra Cricket Association Stadium,"Maharashtra Cricket Association Stadium|Maharashtra Cricket Association Stadium, Pune"
21,Narendra Modi Stadium,"Narendra Modi Stadium, Ahmedabad|Sardar Patel Stadium, Motera"
22,Nehru Stadium,Nehru Stadium
23,New Wanderers Stadium,New Wanderers Stadium
24,Newlands,Newlands
25,OUTsurance Oval,OUTsurance Oval
26,Punjab Cricket Association IS Bindra Stadium,"Punjab Cricket Association IS Bindra Stadium|Punjab Cricket Association IS Bindra Stadium, Mohali|Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh|Punjab Cricket Association Stadium, Mohali"
27,Rajiv Gandhi International Stadium,"Rajiv Gandhi International Stadium|Rajiv Gandhi International Stadium, Uppal|Rajiv Gandhi International Stadium, Uppal, Hyderabad"
28,Saurashtra Cricket Association Stadium,Saurashtra Cricket Association Stadium
29,Sawai Mansingh Stadium,"Sawai Mansingh Stadium|Sawai Mansingh Stadium, Jaipur"
30,Shaheed Veer Narayan Singh International Stadium,Shaheed Veer Narayan Singh International Stadium
31,Sharjah Cricket Stadium,Sharjah Cricket Stadium
32,Sheikh Zayed Stadium,"Sheikh Zayed Stadium|Zayed Cricket Stadium, Abu Dhabi"
33,St George's Park,St George's Park
34,Subrata Roy Sahara Stadium,Subrata Roy Sahara Stadium
35,SuperSport Park,SuperSport Park
36,Vidarbha Cricket Association Stadium,"Vidarbha Cricket Association Stadium, Jamtha"
37,Wankhede Stadium,"Wankhede Stadium|Wankhede Stadium, Mumbai"
